code,company,name,gender,age,gender_binary,travel_frequency,avg_flight_price,total_flight_spend,preferred_flight_type,hotel_bookings,avg_hotel_spend,age_group,spending_category,company_enc,preferred_flight_type_enc,age_group_enc,spending_category_enc
44,4You,David Brisco,male,21,1,200.0,905.49735,181099.47,firstclass,31.0,516.908064516129,young,premium,0,2,3,2
45,4You,Margaret Paul,female,54,0,230.0,978.2601739130434,224999.84,firstclass,28.0,405.76714285714286,middle_aged,premium,0,2,1,2
46,4You,Bobby Garcia,male,42,1,286.0,990.7553496503496,283356.02999999997,firstclass,55.0,598.5907272727272,middle_aged,premium,0,2,1,2
47,4You,Kevin Lindholm,male,28,1,272.0,888.3328676470588,241626.54,economic,41.0,557.5451219512195,adult,premium,0,0,0,2
48,4You,Clyde Ruiz,male,46,1,84.0,1016.1477380952381,85356.41,firstclass,14.0,528.3778571428571,middle_aged,premium,0,2,1,2
49,4You,Charles Wilenkin,male,55,1,306.0,895.9834640522876,274170.94,firstclass,49.0,501.6012244897959,middle_aged,premium,0,2,1,2
50,4You,Monique Williams,female,56,0,224.0,941.4017857142857,210874.0,firstclass,31.0,480.30516129032253,middle_aged,premium,0,2,1,2
51,4You,Jenell Torbus,female,39,0,4.0,575.8775,2303.51,premium,2.0,572.97,adult,economy,0,3,0,0
52,4You,Joyce Jacobsen,female,55,0,378.0,923.4792328042329,349075.15,firstclass,52.0,507.36634615384617,middle_aged,premium,0,2,1,2
53,4You,Carol Dixon,female,23,0,34.0,944.4767647058824,32112.21,firstclass,7.0,522.4371428571428,young,premium,0,2,3,2
54,4You,Dorothea Delaney,female,21,0,198.0,959.0404545454546,189890.01,firstclass,29.0,612.5651724137931,young,premium,0,2,3,2
57,4You,Dorothy Dyson,female,32,0,90.0,903.5497777777778,81319.48,firstclass,11.0,591.4527272727272,adult,premium,0,2,0,2
58,4You,Ernie Walker,male,37,1,74.0,989.6986486486486,73237.7,firstclass,7.0,671.8142857142857,adult,premium,0,2,0,2
60,4You,Fred Moreta,male,47,1,354.0,915.6720338983051,324147.9,firstclass,53.0,380.0632075471698,middle_aged,premium,0,2,1,2
61,4You,Susan Armstrong,female,61,0,326.0,924.1160429447854,301261.83,firstclass,58.0,540.6687931034483,senior,premium,0,2,2,2
63,4You,Robert Bell,male,22,1,280.0,925.855,259239.4,firstclass,47.0,491.55063829787235,young,premium,0,2,3,2
64,4You,Ann Moore,female,41,0,366.0,921.0334153005464,337098.23,firstclass,58.0,530.1370689655173,middle_aged,premium,0,2,1,2
67,4You,Melissa Long,female,41,0,300.0,913.4968666666666,274049.06,firstclass,45.0,577.1395555555555,middle_aged,premium,0,2,1,2
68,4You,Lori Friedman,female,62,0,264.0,929.2086742424242,245311.09,firstclass,45.0,459.6428888888889,senior,premium,0,2,2,2
70,4You,Charles Lutz,male,57,1,296.0,930.0483783783784,275294.32,firstclass,45.0,534.198,middle_aged,premium,0,2,1,2
73,4You,Melissa Emch,female,46,0,264.0,908.418446969697,239822.47,economic,39.0,498.1920512820513,middle_aged,premium,0,0,1,2
75,4You,Robert Wilhite,male,65,1,246.0,998.9459349593496,245740.7,firstclass,40.0,521.09925,senior,premium,0,2,2,2
77,4You,Helen Gorman,female,57,0,198.0,875.7274242424243,173394.03,firstclass,26.0,562.5296153846155,middle_aged,premium,0,2,1,2
79,4You,Margaret Bertholf,female,65,0,174.0,888.3274712643679,154568.98,premium,24.0,594.2170833333333,senior,premium,0,3,2,2
80,4You,Elissa Hubbard,female,45,0,60.0,1005.1708333333333,60310.25,premium,8.0,678.075,middle_aged,premium,0,3,1,2
81,4You,Angela Hill,female,21,0,162.0,885.3898765432099,143433.16,firstclass,27.0,546.2222222222222,young,premium,0,2,3,2
82,4You,Matthew Middendorf,male,60,1,392.0,921.8807908163266,361377.27,firstclass,53.0,554.2724528301887,senior,premium,0,2,2,2
85,4You,Peter Moon,male,39,1,6.0,1018.625,6111.75,premium,2.0,1152.48,adult,premium,0,3,0,2
86,4You,Audrey Atwood,female,30,0,42.0,890.7345238095238,37410.85,premium,4.0,629.38,adult,premium,0,3,0,2
87,4You,Marie Bowyer,female,30,0,12.0,983.7025,11804.43,economic,3.0,427.25333333333333,adult,premium,0,0,0,2
89,4You,Dixie Perez,female,28,0,78.0,894.2483333333332,69751.37,economic,12.0,623.9091666666667,adult,premium,0,0,0,2
91,4You,Christopher Madden,male,21,1,162.0,958.2173456790123,155231.21,firstclass,23.0,562.9934782608696,young,premium,0,2,3,2
92,4You,Donna Day,female,43,0,44.0,987.1888636363636,43436.31,firstclass,8.0,477.98375,middle_aged,premium,0,2,1,2
96,4You,Mary Clarke,female,40,0,242.0,837.8955785123967,202770.73,firstclass,30.0,551.7596666666667,middle_aged,premium,0,2,1,2
98,4You,Marie Ruiz,female,23,0,62.0,928.9027419354838,57591.97,firstclass,7.0,257.5,young,premium,0,2,3,2
100,4You,Carla Puskar,female,36,0,286.0,919.076958041958,262856.01,firstclass,36.0,545.5961111111111,adult,premium,0,2,0,2
101,4You,James Banks,male,59,1,100.0,963.5249,96352.49,firstclass,18.0,509.7688888888889,middle_aged,premium,0,2,1,2
102,4You,Henry Muhammad,male,43,1,60.0,892.8888333333333,53573.33,premium,7.0,476.01571428571424,middle_aged,premium,0,3,1,2
103,4You,Judy Church,female,39,0,142.0,950.7815492957748,135010.98,firstclass,26.0,474.475,adult,premium,0,2,0,2
104,4You,Stephen Naylor,male,32,1,282.0,938.279219858156,264594.74,firstclass,44.0,472.6695454545454,adult,premium,0,2,0,2
105,4You,Richard Haugen,male,31,1,366.0,929.7813387978141,340299.97,firstclass,68.0,493.02191176470586,adult,premium,0,2,0,2
107,4You,Lisa Martin,female,46,0,290.0,899.0854827586207,260734.79,firstclass,43.0,569.1272093023256,middle_aged,premium,0,2,1,2
108,4You,Becky Gonzalez,female,58,0,88.0,902.8375,79449.7,firstclass,14.0,438.5642857142857,middle_aged,premium,0,2,1,2
109,4You,Maria Averitt,female,24,0,296.0,905.1502027027028,267924.46,firstclass,50.0,535.9004,young,premium,0,2,3,2
111,4You,Susan Streets,female,63,0,376.0,916.8779521276596,344746.11,firstclass,60.0,611.0665,senior,premium,0,2,2,2
112,4You,Michael Benincase,male,53,1,388.0,910.0775515463919,353110.09,firstclass,62.0,588.8138709677419,middle_aged,premium,0,2,1,2
114,4You,Wallace Tenney,male,47,1,52.0,886.3673076923077,46091.1,economic,11.0,488.4045454545454,middle_aged,premium,0,0,1,2
116,4You,Shawn Pennachio,male,59,1,196.0,862.5736734693878,169064.44,firstclass,33.0,576.9375757575757,middle_aged,premium,0,2,1,2
118,4You,Margaret Renfroe,female,45,0,202.0,953.9357920792079,192695.03,firstclass,32.0,517.7265625,middle_aged,premium,0,2,1,2
119,4You,Justin Bedard,male,38,1,370.0,864.6201081081081,319909.44,firstclass,55.0,518.8232727272728,adult,premium,0,2,0,2
121,4You,Kim Frederick,male,54,1,104.0,895.6008653846154,93142.49,firstclass,15.0,620.8813333333333,middle_aged,premium,0,2,1,2
123,4You,Ralph Alzugaray,male,60,1,42.0,899.202380952381,37766.5,economic,10.0,460.535,senior,premium,0,0,2,2
124,4You,Rae Austin,female,54,0,176.0,931.3836931818182,163923.53,firstclass,22.0,660.2945454545454,middle_aged,premium,0,2,1,2
125,4You,Marshall Knight,male,61,1,98.0,845.145612244898,82824.27,economic,10.0,491.08599999999996,senior,premium,0,0,2,2
128,4You,Alexander Carter,male,58,1,20.0,1097.287,21945.74,firstclass,0.0,495.24,middle_aged,premium,0,2,1,2
129,4You,Angela Cooper,female,50,0,366.0,959.2331693989072,351079.34,firstclass,53.0,556.9011320754717,middle_aged,premium,0,2,1,2
130,4You,Robin Greek,female,65,0,12.0,871.1758333333333,10454.11,premium,2.0,650.6300000000001,senior,premium,0,3,2,2
131,4You,Terry Conteras,female,25,0,204.0,882.811862745098,180093.62,firstclass,29.0,619.6420689655172,adult,premium,0,2,0,2
133,4You,Ma New,female,28,0,222.0,925.6453603603603,205493.27,firstclass,27.0,553.7951851851851,adult,premium,0,2,0,2
134,4You,Anthony Mccaslin,male,54,1,264.0,978.7475757575758,258389.36,firstclass,41.0,515.5278048780488,middle_aged,premium,0,2,1,2
135,4You,Jeanna Davis,female,45,0,170.0,926.5584117647059,157514.93,firstclass,28.0,523.4607142857143,middle_aged,premium,0,2,1,2
136,4You,Sabrina Chance,female,53,0,36.0,854.4252777777779,30759.31,firstclass,5.0,377.256,middle_aged,premium,0,2,1,2
138,4You,Kathryn Otsuka,female,27,0,56.0,948.1358928571428,53095.61,firstclass,11.0,562.1263636363636,adult,premium,0,2,0,2
140,4You,Lillian Reyes,female,65,0,270.0,909.6705555555556,245611.05,firstclass,36.0,454.6336111111111,senior,premium,0,2,2,2
142,4You,Richard Espericueta,male,39,1,94.0,971.5782978723404,91328.36,firstclass,12.0,433.30916666666667,adult,premium,0,2,0,2
143,4You,Lisa Fitch,female,37,0,80.0,902.338625,72187.09,premium,15.0,503.46866666666665,adult,premium,0,3,0,2
144,4You,Samantha Link,female,53,0,96.0,961.6992708333333,92323.13,firstclass,9.0,579.8499999999999,middle_aged,premium,0,2,1,2
145,4You,Sandra Cruson,female,30,0,384.0,907.7253906249999,348566.55,firstclass,47.0,563.7736170212767,adult,premium,0,2,0,2
146,4You,Ruben Flores,male,65,1,380.0,908.6709999999999,345294.98,firstclass,57.0,589.9889473684211,senior,premium,0,2,2,2
148,4You,Marty Ferguson,male,57,1,354.0,953.7059604519774,337611.91,firstclass,47.0,571.6502127659575,middle_aged,premium,0,2,1,2
149,4You,Mary Harkness,female,37,0,322.0,916.3213354037266,295055.47,firstclass,59.0,534.8086440677966,adult,premium,0,2,0,2
152,4You,Elisa Vizcarra,female,42,0,312.0,934.1771474358975,291463.27,firstclass,51.0,490.00666666666666,middle_aged,premium,0,2,1,2
153,4You,Tona Buri,female,65,0,202.0,955.9938613861386,193110.76,firstclass,28.0,635.0828571428572,senior,premium,0,2,2,2
154,4You,Rex Velasquez,male,46,1,54.0,947.8725925925927,51185.12,firstclass,8.0,574.9137499999999,middle_aged,premium,0,2,1,2
156,4You,Shannon Buitron,female,53,0,260.0,895.3788461538461,232798.5,firstclass,40.0,575.3415,middle_aged,premium,0,2,1,2
158,4You,Benjamin Vanbuskirk,male,52,1,388.0,985.1561855670102,382240.6,firstclass,64.0,574.07140625,middle_aged,premium,0,2,1,2
159,4You,Jack Harris,male,26,1,66.0,893.149090909091,58947.840000000004,premium,9.0,421.1766666666667,adult,premium,0,3,0,2
161,4You,Abraham Smith,male,62,1,256.0,879.6633984375,225193.83,firstclass,44.0,541.7347727272728,senior,premium,0,2,2,2
162,4You,Helen Jordan,female,21,0,222.0,964.9131981981983,214210.73,firstclass,34.0,525.9579411764706,young,premium,0,2,3,2
163,4You,Derek Colburn,male,59,1,124.0,978.8091129032258,121372.33,firstclass,22.0,605.7554545454545,middle_aged,premium,0,2,1,2
164,4You,Tyler Butler,male,35,1,80.0,942.1955,75375.64,economic,10.0,474.75200000000007,adult,premium,0,0,0,2
167,4You,Robert Toney,male,65,1,28.0,1028.0564285714286,28785.579999999998,firstclass,5.0,647.6519999999999,senior,premium,0,2,2,2
168,4You,Lynn Quirk,female,53,0,346.0,911.3764450867052,315336.25,firstclass,58.0,555.0725862068965,middle_aged,premium,0,2,1,2
171,4You,Wade Cobb,male,49,1,188.0,935.7944680851064,175929.36,firstclass,26.0,457.1742307692308,middle_aged,premium,0,2,1,2
173,4You,Devin Shaver,male,49,1,148.0,948.6091891891892,140394.16,firstclass,23.0,519.9308695652173,middle_aged,premium,0,2,1,2
175,4You,Doris Marsh,female,48,0,274.0,896.5498540145985,245654.66,firstclass,41.0,588.310975609756,middle_aged,premium,0,2,1,2
176,4You,Eva Grant,female,32,0,242.0,932.5781818181819,225683.92,firstclass,47.0,528.7927659574468,adult,premium,0,2,0,2
177,4You,Brent Jaynes,male,55,1,304.0,934.8083552631579,284181.74,firstclass,42.0,575.6752380952381,middle_aged,premium,0,2,1,2
178,4You,Bobby Rutledge,male,36,1,262.0,929.0256870229008,243404.73,firstclass,54.0,539.0905555555555,adult,premium,0,2,0,2
179,4You,Ellen Brodowski,female,55,0,180.0,907.8513333333333,163413.24,firstclass,25.0,518.3864,middle_aged,premium,0,2,1,2
180,4You,William Prahm,male,27,1,264.0,952.3568939393939,251422.22,firstclass,41.0,524.6600000000001,adult,premium,0,2,0,2
182,4You,Donald Anderson,male,29,1,230.0,904.2076521739131,207967.76,firstclass,41.0,565.4070731707317,adult,premium,0,2,0,2
183,4You,Dean Lindberg,male,42,1,378.0,945.6553174603175,357457.71,firstclass,54.0,457.0264814814815,middle_aged,premium,0,2,1,2
184,4You,Ronald Giunta,male,60,1,74.0,1028.6458108108106,76119.79,firstclass,12.0,358.27833333333336,senior,premium,0,2,2,2
185,4You,Robert Sherman,male,54,1,262.0,954.919465648855,250188.9,firstclass,34.0,539.6841176470588,middle_aged,premium,0,2,1,2
186,4You,Doris Quinones,female,56,0,342.0,919.1362865497075,314344.61,firstclass,53.0,556.2647169811321,middle_aged,premium,0,2,1,2
187,4You,Merle Gravatt,male,59,1,308.0,924.6112987012986,284780.27999999997,firstclass,47.0,486.251914893617,middle_aged,premium,0,2,1,2
188,4You,Donald Kingsley,male,24,1,238.0,932.0658403361343,221831.66999999998,firstclass,36.0,519.4847222222222,young,premium,0,2,3,2
189,4You,Nicholas Goodman,male,31,1,384.0,922.2453645833333,354142.22,firstclass,50.0,533.5362,adult,premium,0,2,0,2
192,4You,Jordan Williams,male,41,1,106.0,920.4207547169812,97564.6,firstclass,13.0,490.3146153846154,middle_aged,premium,0,2,1,2
193,4You,Jose Carr,male,62,1,328.0,962.1164634146342,315574.2,firstclass,57.0,566.9285964912281,senior,premium,0,2,2,2
194,4You,William Douthitt,male,37,1,344.0,914.3689825581395,314542.93,firstclass,54.0,598.5053703703704,adult,premium,0,2,0,2
195,4You,Richard Juarez,male,39,1,398.0,914.5020603015075,363971.82,firstclass,58.0,439.7789655172414,adult,premium,0,2,0,2
196,4You,Ora Nunez,female,59,0,158.0,946.8812658227847,149607.24,firstclass,29.0,506.0572413793103,middle_aged,premium,0,2,1,2
197,4You,Roger Chavers,male,23,1,212.0,898.4042924528302,190461.71,firstclass,24.0,511.8125,young,premium,0,2,3,2
201,4You,Emerson Martindale,male,41,1,62.0,1035.0304838709678,64171.89,firstclass,5.0,795.046,middle_aged,premium,0,2,1,2
202,4You,Christopher Schroeder,male,34,1,72.0,900.205,64814.76,premium,10.0,684.0889999999999,adult,premium,0,3,0,2
203,4You,Gary Lamb,male,46,1,302.0,943.2270198675496,284854.56,firstclass,43.0,510.75581395348837,middle_aged,premium,0,2,1,2
206,4You,Lisa Mottillo,female,33,0,278.0,946.4924100719425,263124.89,firstclass,43.0,536.7260465116279,adult,premium,0,2,0,2
207,4You,Mary Breton,female,33,0,216.0,949.7036111111112,205135.98,firstclass,35.0,464.3225714285714,adult,premium,0,2,0,2
208,4You,Gertrude Fowler,female,37,0,276.0,919.4980797101449,253781.47,firstclass,43.0,567.6123255813953,adult,premium,0,2,0,2
209,4You,Elvin Wilhoit,male,51,1,250.0,896.2963199999999,224074.08,firstclass,32.0,588.3028125,middle_aged,premium,0,2,1,2
211,4You,Jessica Shepard,female,57,0,132.0,907.3195454545455,119766.18000000001,firstclass,16.0,531.474375,middle_aged,premium,0,2,1,2
212,4You,David Donovan,male,34,1,356.0,954.478286516854,339794.27,firstclass,52.0,565.9636538461539,adult,premium,0,2,0,2
213,4You,Paulette Olney,female,44,0,208.0,898.4182211538462,186870.99,firstclass,27.0,563.73,middle_aged,premium,0,2,1,2
214,4You,Bernice Martinez,female,62,0,64.0,1030.6590625,65962.18,firstclass,7.0,589.8028571428571,senior,premium,0,2,2,2
218,4You,Marylee Hall,female,60,0,140.0,891.1847142857143,124765.86,firstclass,24.0,566.7695833333333,senior,premium,0,2,2,2
221,4You,Ruth Nava,female,58,0,64.0,894.41171875,57242.35,firstclass,8.0,401.9825,middle_aged,premium,0,2,1,2
222,4You,Kimberly Plumber,female,21,0,286.0,897.8175874125874,256775.83,firstclass,52.0,503.36673076923074,young,premium,0,2,3,2
223,4You,Georgina Trevino,female,36,0,326.0,912.6184049079753,297513.6,firstclass,52.0,479.1392307692308,adult,premium,0,2,0,2
224,4You,Lucille Merkle,female,65,0,200.0,909.9639500000001,181992.79,economic,36.0,450.5105555555556,senior,premium,0,0,2,2
226,4You,Jennifer Ladner,female,29,0,142.0,926.6932394366197,131590.44,firstclass,24.0,379.1583333333333,adult,premium,0,2,0,2
228,4You,Robert George,male,29,1,294.0,947.7791156462584,278647.06,firstclass,46.0,466.2508695652174,adult,premium,0,2,0,2
230,4You,Patricia Pittman,female,35,0,326.0,926.9155828220859,302174.48,firstclass,43.0,580.8125581395349,adult,premium,0,2,0,2
231,4You,Ronnie Stauffer,male,50,1,240.0,931.0985833333333,223463.66,firstclass,29.0,602.568275862069,middle_aged,premium,0,2,1,2
232,4You,Linda Pelaez,female,29,0,50.0,985.7472,49287.36,firstclass,11.0,581.4472727272728,adult,premium,0,2,0,2
233,4You,Anna Broyles,female,63,0,150.0,865.5464000000001,129831.96,firstclass,23.0,498.6747826086957,senior,premium,0,2,2,2
234,4You,Antonia Mcrae,female,45,0,368.0,940.2426358695651,346009.29,firstclass,52.0,549.1948076923077,middle_aged,premium,0,2,1,2
235,4You,Bonnie Martinez,female,49,0,22.0,1010.055,22221.21,firstclass,1.0,663.96,middle_aged,premium,0,2,1,2
237,4You,Sylvia Etheridge,female,47,0,352.0,901.8090340909092,317436.78,firstclass,59.0,503.55983050847453,middle_aged,premium,0,2,1,2
238,4You,Charles Baker,male,38,1,148.0,983.5599324324324,145566.87,firstclass,16.0,477.590625,adult,premium,0,2,0,2
239,4You,Julie Berman,female,51,0,362.0,956.9040331491713,346399.26,firstclass,45.0,477.28111111111116,middle_aged,premium,0,2,1,2
241,4You,Sonia Malaspina,female,63,0,400.0,920.508625,368203.45,firstclass,64.0,470.28796875,senior,premium,0,2,2,2
242,4You,Ray Johnson,male,56,1,330.0,968.3776666666666,319564.63,firstclass,62.0,632.0662903225807,middle_aged,premium,0,2,1,2
244,4You,Opal Valles,female,45,0,232.0,887.0022844827586,205784.53,firstclass,36.0,570.6975,middle_aged,premium,0,2,1,2
245,4You,Jacqueline Sabir,female,40,0,266.0,867.6038721804512,230782.63,firstclass,49.0,585.1255102040817,middle_aged,premium,0,2,1,2
246,4You,Dorothy Richardson,female,33,0,186.0,977.4427956989247,181804.36,firstclass,30.0,605.7389999999999,adult,premium,0,2,0,2
248,4You,Monica Chafin,female,49,0,258.0,942.1210465116279,243067.23,firstclass,40.0,484.05600000000004,middle_aged,premium,0,2,1,2
249,4You,George Sapp,male,26,1,146.0,899.7227397260273,131359.52,firstclass,15.0,377.12066666666664,adult,premium,0,2,0,2
250,4You,Jeff Veno,male,38,1,324.0,931.5426543209877,301819.82,firstclass,43.0,554.2044186046512,adult,premium,0,2,0,2
251,4You,Tommy Burns,male,25,1,380.0,900.5804210526316,342220.56,firstclass,69.0,509.2271014492753,adult,premium,0,2,0,2
253,4You,Barbara Knight,female,41,0,114.0,900.0708771929825,102608.08,firstclass,20.0,597.992,middle_aged,premium,0,2,1,2
255,4You,Arthur Hoag,male,31,1,36.0,1031.9052777777777,37148.59,firstclass,7.0,388.11571428571426,adult,premium,0,2,0,2
257,4You,Carolyn Miller,female,39,0,88.0,881.5003409090909,77572.03,economic,7.0,565.9428571428572,adult,premium,0,0,0,2
258,4You,Walter Letchworth,male,35,1,294.0,885.9839115646258,260479.27,firstclass,45.0,511.98822222222225,adult,premium,0,2,0,2
262,4You,Ramon Santistevan,male,33,1,268.0,924.8291791044776,247854.22,firstclass,37.0,573.9327027027026,adult,premium,0,2,0,2
264,4You,Prince Webster,male,40,1,380.0,908.8748947368422,345372.46,firstclass,62.0,491.5983870967742,middle_aged,premium,0,2,1,2
265,4You,Patricia Ives,female,30,0,194.0,890.7306701030927,172801.75,firstclass,27.0,505.99185185185183,adult,premium,0,2,0,2
266,4You,Larry Decker,male,45,1,274.0,939.4262408759124,257402.79,firstclass,45.0,553.1282222222222,middle_aged,premium,0,2,1,2
267,4You,Patricia Elwell,female,40,0,270.0,946.0577777777778,255435.6,firstclass,35.0,604.4262857142857,middle_aged,premium,0,2,1,2
270,4You,Dustin Owens,male,51,1,22.0,996.1772727272728,21915.9,firstclass,1.0,165.99,middle_aged,premium,0,2,1,2
271,4You,Scott Schreyer,male,63,1,314.0,927.6673885350318,291287.56,firstclass,55.0,560.5401818181818,senior,premium,0,2,2,2
272,4You,Genevieve May,female,56,0,128.0,897.74203125,114910.98,firstclass,16.0,571.73875,middle_aged,premium,0,2,1,2
273,4You,John Evans,male,52,1,276.0,895.2601449275362,247091.8,firstclass,42.0,531.8714285714285,middle_aged,premium,0,2,1,2
274,4You,Alejandro Perry,male,61,1,386.0,909.8885751295337,351216.99,firstclass,62.0,515.1453225806451,senior,premium,0,2,2,2
278,4You,Willie Lopez,male,36,1,150.0,917.9041333333333,137685.62,firstclass,17.0,571.6670588235294,adult,premium,0,2,0,2
279,4You,Mildred Jackson,female,49,0,172.0,895.627034883721,154047.85,firstclass,29.0,598.458275862069,middle_aged,premium,0,2,1,2
280,4You,Stephen Diaz,male,26,1,232.0,921.1512931034483,213707.1,firstclass,29.0,587.1937931034482,adult,premium,0,2,0,2
283,4You,Barbara Faust,female,42,0,80.0,1001.6182499999999,80129.45999999999,firstclass,19.0,612.2152631578947,middle_aged,premium,0,2,1,2
284,4You,Adam Pittman,male,32,1,372.0,949.0231451612902,353036.61,firstclass,51.0,499.08000000000004,adult,premium,0,2,0,2
286,4You,Ellen Hanks,female,43,0,40.0,916.8280000000001,36673.12,firstclass,6.0,563.6899999999999,middle_aged,premium,0,2,1,2
289,4You,Ethel Duffy,female,34,0,280.0,915.8272857142857,256431.64,firstclass,39.0,443.4902564102564,adult,premium,0,2,0,2
291,4You,Larry Dupree,male,36,1,126.0,995.7596825396826,125465.72,firstclass,15.0,569.4186666666666,adult,premium,0,2,0,2
294,4You,Dawn Harris,female,22,0,168.0,898.8025595238095,150998.83,firstclass,19.0,523.2136842105263,young,premium,0,2,3,2
295,4You,Jenna Center,female,60,0,128.0,969.8109375,124135.8,firstclass,24.0,559.3345833333334,senior,premium,0,2,2,2
298,4You,Gary Schwab,male,29,1,10.0,938.176,9381.76,premium,0.0,495.24,adult,premium,0,3,0,2
302,4You,Anne Brown,female,42,0,82.0,818.0712195121951,67081.84,premium,10.0,637.2529999999999,middle_aged,premium,0,3,1,2
303,4You,Richard Gomez,male,56,1,46.0,1009.1504347826086,46420.92,firstclass,5.0,657.072,middle_aged,premium,0,2,1,2
304,4You,James Lord,male,32,1,314.0,910.436433121019,285877.04,firstclass,41.0,554.8860975609756,adult,premium,0,2,0,2
305,4You,Sarah Willis,female,50,0,76.0,952.0819736842104,72358.23,firstclass,10.0,513.8549999999999,middle_aged,premium,0,2,1,2
307,4You,Robert Legros,male,59,1,370.0,944.792027027027,349573.05,firstclass,50.0,614.613,middle_aged,premium,0,2,1,2
