code,company,name,gender,age,gender_binary
80,4You,Elissa Hubbard,female,45,0
81,4You,Angela Hill,female,21,0
82,4You,Matthew Middendorf,male,60,1
85,4You,Peter Moon,male,39,1
86,4You,Audrey Atwood,female,30,0
87,4You,Marie Bowyer,female,30,0
89,4You,Dixie Perez,female,28,0
91,4You,Christopher Madden,male,21,1
92,4You,Donna Day,female,43,0
96,4You,Mary Clarke,female,40,0
98,4You,Marie Ruiz,female,23,0
100,4You,Carla Puskar,female,36,0
101,4You,James Banks,male,59,1
102,4You,Henry Muhammad,male,43,1
103,4You,Judy Church,female,39,0
104,4You,Stephen Naylor,male,32,1
105,4You,Richard Haugen,male,31,1
107,4You,Lisa Martin,female,46,0
108,4You,Becky Gonzalez,female,58,0
109,4You,Maria Averitt,female,24,0
111,4You,Susan Streets,female,63,0
112,4You,Michael Benincase,male,53,1
114,4You,Wallace Tenney,male,47,1
116,4You,Shawn Pennachio,male,59,1
118,4You,Margaret Renfroe,female,45,0
119,4You,Justin Bedard,male,38,1
121,4You,Kim Frederick,male,54,1
123,4You,Ralph Alzugaray,male,60,1
124,4You,Rae Austin,female,54,0
125,4You,Marshall Knight,male,61,1
128,4You,Alexander Carter,male,58,1
129,4You,Angela Cooper,female,50,0
130,4You,Robin Greek,female,65,0
131,4You,Terry Conteras,female,25,0
133,4You,Ma New,female,28,0
134,4You,Anthony Mccaslin,male,54,1
135,4You,Jeanna Davis,female,45,0
136,4You,Sabrina Chance,female,53,0
138,4You,Kathryn Otsuka,female,27,0
140,4You,Lillian Reyes,female,65,0
142,4You,Richard Espericueta,male,39,1
143,4You,Lisa Fitch,female,37,0
144,4You,Samantha Link,female,53,0
145,4You,Sandra Cruson,female,30,0
146,4You,Ruben Flores,male,65,1
148,4You,Marty Ferguson,male,57,1
149,4You,Mary Harkness,female,37,0
152,4You,Elisa Vizcarra,female,42,0
153,4You,Tona Buri,female,65,0
154,4You,Rex Velasquez,male,46,1
156,4You,Shannon Buitron,female,53,0
158,4You,Benjamin Vanbuskirk,male,52,1
159,4You,Jack Harris,male,26,1
161,4You,Abraham Smith,male,62,1
162,4You,Helen Jordan,female,21,0
163,4You,Derek Colburn,male,59,1
164,4You,Tyler Butler,male,35,1
167,4You,Robert Toney,male,65,1
168,4You,Lynn Quirk,female,53,0
171,4You,Wade Cobb,male,49,1
173,4You,Devin Shaver,male,49,1
175,4You,Doris Marsh,female,48,0
176,4You,Eva Grant,female,32,0
177,4You,Brent Jaynes,male,55,1
178,4You,Bobby Rutledge,male,36,1
179,4You,Ellen Brodowski,female,55,0
180,4You,William Prahm,male,27,1
182,4You,Donald Anderson,male,29,1
183,4You,Dean Lindberg,male,42,1
184,4You,Ronald Giunta,male,60,1
185,4You,Robert Sherman,male,54,1
186,4You,Doris Quinones,female,56,0
187,4You,Merle Gravatt,male,59,1
188,4You,Donald Kingsley,male,24,1
189,4You,Nicholas Goodman,male,31,1
192,4You,Jordan Williams,male,41,1
193,4You,Jose Carr,male,62,1
194,4You,William Douthitt,male,37,1
195,4You,Richard Juarez,male,39,1
196,4You,Ora Nunez,female,59,0
197,4You,Roger Chavers,male,23,1
201,4You,Emerson Martindale,male,41,1
202,4You,Christopher Schroeder,male,34,1
203,4You,Gary Lamb,male,46,1
206,4You,Lisa Mottillo,female,33,0
207,4You,Mary Breton,female,33,0
208,4You,Gertrude Fowler,female,37,0
209,4You,Elvin Wilhoit,male,51,1
211,4You,Jessica Shepard,female,57,0
212,4You,David Donovan,male,34,1
213,4You,Paulette Olney,female,44,0
214,4You,Bernice Martinez,female,62,0
218,4You,Marylee Hall,female,60,0
221,4You,Ruth Nava,female,58,0
222,4You,Kimberly Plumber,female,21,0
223,4You,Georgina Trevino,female,36,0
224,4You,Lucille Merkle,female,65,0
226,4You,Jennifer Ladner,female,29,0
228,4You,Robert George,male,29,1
230,4You,Patricia Pittman,female,35,0
231,4You,Ronnie Stauffer,male,50,1
232,4You,Linda Pelaez,female,29,0
233,4You,Anna Broyles,female,63,0
234,4You,Antonia Mcrae,female,45,0
235,4You,Bonnie Martinez,female,49,0
237,4You,Sylvia Etheridge,female,47,0
238,4You,Charles Baker,male,38,1
239,4You,Julie Berman,female,51,0
241,4You,Sonia Malaspina,female,63,0
242,4You,Ray Johnson,male,56,1
244,4You,Opal Valles,female,45,0
245,4You,Jacqueline Sabir,female,40,0
246,4You,Dorothy Richardson,female,33,0
248,4You,Monica Chafin,female,49,0
249,4You,George Sapp,male,26,1
250,4You,Jeff Veno,male,38,1
251,4You,Tommy Burns,male,25,1
253,4You,Barbara Knight,female,41,0
255,4You,Arthur Hoag,male,31,1
257,4You,Carolyn Miller,female,39,0
258,4You,Walter Letchworth,male,35,1
262,4You,Ramon Santistevan,male,33,1
264,4You,Prince Webster,male,40,1
265,4You,Patricia Ives,female,30,0
266,4You,Larry Decker,male,45,1
267,4You,Patricia Elwell,female,40,0
270,4You,Dustin Owens,male,51,1
271,4You,Scott Schreyer,male,63,1
272,4You,Genevieve May,female,56,0
273,4You,John Evans,male,52,1
274,4You,Alejandro Perry,male,61,1
278,4You,Willie Lopez,male,36,1
279,4You,Mildred Jackson,female,49,0
280,4You,Stephen Diaz,male,26,1
283,4You,Barbara Faust,female,42,0
284,4You,Adam Pittman,male,32,1
286,4You,Ellen Hanks,female,43,0
289,4You,Ethel Duffy,female,34,0
291,4You,Larry Dupree,male,36,1
294,4You,Dawn Harris,female,22,0
295,4You,Jenna Center,female,60,0
298,4You,Gary Schwab,male,29,1
302,4You,Anne Brown,female,42,0
303,4You,Richard Gomez,male,56,1
304,4You,James Lord,male,32,1
305,4You,Sarah Willis,female,50,0
307,4You,Robert Legros,male,59,1
308,4You,Doris Ramirez,female,27,0
309,4You,David Robinson,male,33,1
312,4You,Ulysses Barker,male,40,1
313,4You,Judith Pierce,female,23,0
314,4You,Matthew Johnson,male,50,1
316,4You,Charlotte Johnson,female,64,0
317,4You,Adam Groome,male,54,1
319,4You,Anthony Jarrett,male,28,1
320,4You,Reginald Doherty,male,33,1
322,4You,Wallace Gallardo,male,56,1
323,4You,Jean Obrien,female,53,0
326,4You,Marian Dunn,female,63,0
327,4You,Vanessa Nobles,female,32,0
328,4You,Tracy Mccracken,female,53,0
329,4You,Amanda Hanson,female,46,0
331,4You,Edward Grayson,male,41,1
334,4You,Mitchell Goss,male,45,1
336,4You,Edith Franco,female,22,0
338,4You,Randy Sao,male,65,1
339,4You,Stephen Midgett,male,33,1
342,4You,Tina Tomasek,female,22,0
343,4You,Eric Fuller,male,47,1
344,4You,Gary Hanson,male,33,1
346,4You,Jeffrey Forester,male,57,1
347,4You,Keith Sherman,male,35,1
348,4You,Mathilde Boone,female,52,0
349,4You,Isabel Guthrie,female,36,0
350,4You,Sam Abernathy,male,25,1
352,4You,Alicia Watts,female,36,0
353,4You,Ricky Baker,male,57,1
355,4You,Debra Bailey,female,61,0
357,4You,Kathryn Childress,female,37,0
358,4You,Rickey Orouke,male,46,1
359,4You,Virgil Hauck,male,48,1
360,4You,William Williams,male,49,1
361,4You,Curtis Sexton,male,33,1
362,4You,Kyle Young,male,59,1
363,4You,Abby Small,female,25,0
364,4You,Kristina Schuetz,female,48,0
365,4You,Eunice Burns,female,24,0
368,4You,Mark Nemec,male,25,1
369,4You,Bart Haverstock,male,21,1
373,4You,Jame Carter,female,65,0
374,4You,Kristopher Runyon,male,25,1
376,4You,Dale Mazur,male,47,1
377,4You,Larry Faron,male,24,1
381,4You,Victor Remington,male,52,1
384,4You,Eulalia White,female,45,0
385,4You,Jeffery Gill,male,53,1
386,4You,Katlyn Hsiao,female,44,0
388,4You,Virgie Humphrys,female,23,0
391,4You,Philip Robertson,male,49,1
392,4You,Cameron Williams,male,27,1
393,4You,Kelly Subido,female,23,0
395,4You,Caroline Eaton,female,49,0
396,4You,Douglas Shields,male,39,1
397,4You,Robert Clark,male,28,1
398,4You,Christine Spillane,female,29,0
399,4You,Shirley Blacklock,female,36,0
400,4You,Cathy Childs,female,52,0
402,4You,Philip Rose,male,48,1
406,4You,William Jemmott,male,21,1
407,4You,Fernande Conover,female,25,0
411,4You,Debbie Green,female,24,0
413,4You,Clifford Fagen,male,63,1
416,4You,Mary Rivera,female,37,0
420,4You,April Williams,female,46,0
423,4You,Sandra Sawin,female,21,0
424,4You,Diana Mcelrath,female,59,0
425,4You,Dorothy Martin,female,61,0
427,4You,Margaret Morley,female,63,0
429,4You,Brian Zimmermann,male,44,1
430,4You,Sharyl Simmons,female,36,0
432,4You,Linda Speight,female,52,0
434,4You,Johnny Odom,male,29,1
435,4You,Eric Barakat,male,57,1
438,4You,Michael Stroik,male,44,1
441,4You,Robert Coronado,male,32,1
442,4You,Renee Brock,female,24,0
443,4You,Alberto Hamner,male,24,1
445,4You,Laura Burns,female,23,0
446,4You,Henry Burkhard,male,46,1
448,4You,Marion Casey,female,28,0
449,4You,Valerie Gonzalez,female,61,0
451,4You,Derick Krausz,male,46,1
455,Monsters CYA,Dana Looney,female,56,0
456,Monsters CYA,Gertrude Rice,female,36,0
457,Monsters CYA,Leonel Richardson,male,49,1
458,Monsters CYA,Donald Jansen,male,22,1
459,Monsters CYA,Joseph Silva,male,50,1
460,Monsters CYA,William Washington,male,63,1
461,Monsters CYA,Ma Hall,female,63,0
462,Monsters CYA,David Leone,male,43,1
464,Monsters CYA,Zachary Richardson,male,60,1
466,Monsters CYA,Walter Ortiz,male,52,1
467,Monsters CYA,Justin Emmons,male,31,1
468,Monsters CYA,Robert Terrell,male,47,1
470,Monsters CYA,Ima Borne,female,23,0
471,Monsters CYA,Norma Brady,female,26,0
472,Monsters CYA,Helen Heavilin,female,28,0
473,Monsters CYA,Anita Smothers,female,48,0
474,Monsters CYA,Dorothy Sample,female,48,0
475,Monsters CYA,Cindy Sullivan,female,44,0
476,Monsters CYA,Major Girard,male,31,1
480,Monsters CYA,Donna Koonce,female,32,0
482,Monsters CYA,William Northey,male,31,1
484,Monsters CYA,Julie Bourgeois,female,44,0
488,Monsters CYA,Sonja Bell,female,56,0
491,Monsters CYA,Lazaro Jordan,male,65,1
492,Monsters CYA,Scott Chavez,male,36,1
493,Monsters CYA,Artie Ladner,female,48,0
494,Monsters CYA,Steven Colon,male,31,1
495,Monsters CYA,Robert Carpenter,male,44,1
497,Monsters CYA,Christopher Cooper,male,60,1
498,Monsters CYA,Melvin Wineland,male,64,1
499,Monsters CYA,Andrew Sperdute,male,62,1
500,Monsters CYA,Edward Zahner,male,42,1
501,Monsters CYA,Amy Ruff,female,21,0
503,Monsters CYA,Mark Smith,male,30,1
505,Monsters CYA,Arthur Acevedo,male,24,1
506,Monsters CYA,David Grady,male,61,1
507,Monsters CYA,Thomas Coleman,male,57,1
508,Monsters CYA,Gwen Payne,female,64,0
511,Monsters CYA,Wilma Prescott,female,32,0
512,Monsters CYA,Juanita Baker,female,52,0
513,Monsters CYA,Kia Rodriguez,female,64,0
514,Monsters CYA,Myesha Taranto,female,41,0
516,Monsters CYA,Julie Hamson,female,47,0
518,Monsters CYA,James White,male,25,1
519,Monsters CYA,Alan Ferebee,male,32,1
520,Monsters CYA,Bobby Alex,male,30,1
521,Monsters CYA,Alicia Cedar,female,29,0
522,Monsters CYA,Wilfred Briggs,male,55,1
524,Monsters CYA,Linda Parks,female,50,0
527,Monsters CYA,Elma Gonzales,female,40,0
528,Monsters CYA,Frances Kendall,female,34,0
529,Monsters CYA,Gary Pietrafesa,male,34,1
532,Monsters CYA,Florence Wilson,female,42,0
534,Monsters CYA,James Perez,male,21,1
535,Monsters CYA,Joann Mccrossen,female,28,0
538,Monsters CYA,Marlene Worrell,female,55,0
543,Monsters CYA,Bianca Fitz,female,51,0
545,Monsters CYA,Kenneth Jump,male,46,1
546,Monsters CYA,Abdul Vogus,male,46,1
548,Monsters CYA,Frances Vidal,female,29,0
549,Monsters CYA,Margaret Orellana,female,24,0
553,Monsters CYA,Diego Boday,male,50,1
554,Monsters CYA,Georgia King,female,27,0
555,Monsters CYA,Yolanda Edwards,female,34,0
556,Monsters CYA,Jonathan Dickens,male,48,1
559,Monsters CYA,Betty Ollie,female,64,0
560,Monsters CYA,Pedro Lewis,male,32,1
561,Monsters CYA,Minnie Lesane,female,30,0
566,Monsters CYA,Elma Depaz,female,29,0
567,Monsters CYA,Darlene Blosser,female,53,0
569,Monsters CYA,Timothy Grady,male,28,1
571,Monsters CYA,Nathan Ponder,male,43,1
572,Monsters CYA,Robert Carrell,male,64,1
575,Monsters CYA,Lucy Pagel,female,42,0
576,Monsters CYA,Chad Langevin,male,22,1
578,Monsters CYA,Naomi Bartz,female,22,0
579,Monsters CYA,Ruby Lewis,female,31,0
580,Monsters CYA,Javier Anthony,male,24,1
581,Monsters CYA,Jennie Klein,female,35,0
582,Monsters CYA,Irene Land,female,62,0
584,Monsters CYA,Michael Jenkins,male,37,1
585,Monsters CYA,Clara Taylor,female,63,0
586,Monsters CYA,Gregory Thiboutot,male,39,1
587,Monsters CYA,David Edelson,male,34,1
590,Monsters CYA,Jennifer Cargo,female,22,0
591,Monsters CYA,Veronica Salgado,female,65,0
593,Monsters CYA,Matthew Kellogg,male,38,1
594,Monsters CYA,Jason Woods,male,30,1
595,Monsters CYA,Maureen Burns,female,34,0
596,Monsters CYA,Dolores Huffman,female,55,0
597,Monsters CYA,Raymond Varner,male,36,1
598,Monsters CYA,Amy Baumann,female,57,0
599,Monsters CYA,Leroy Harris,male,47,1
601,Monsters CYA,Seth Mcclellan,male,32,1
602,Monsters CYA,Renita Smith,female,50,0
605,Monsters CYA,Robert Santos,male,36,1
606,Monsters CYA,David Evans,male,54,1
607,Monsters CYA,Laurie Fine,female,65,0
609,Monsters CYA,Kerri Jones,female,57,0
611,Monsters CYA,Heather Chambers,female,47,0
612,Monsters CYA,Myra Rivera,female,57,0
613,Monsters CYA,Isiah Enriquez,male,53,1
614,Monsters CYA,Anna Zurita,female,41,0
615,Monsters CYA,Stanley Norris,male,64,1
616,Monsters CYA,Jessica Kinsey,female,40,0
617,Monsters CYA,William Miller,male,57,1
618,Monsters CYA,Juanita Deno,female,58,0
619,Monsters CYA,Clifton Parsons,male,45,1
621,Monsters CYA,Kenneth Vue,male,55,1
622,Monsters CYA,Daniel Bollman,male,38,1
624,Monsters CYA,Tracy Brown,female,44,0
625,Monsters CYA,Elizabeth Srinvasan,female,61,0
626,Monsters CYA,Lora Jarman,female,22,0
627,Monsters CYA,Michael Sigmon,male,47,1
628,Monsters CYA,Anthony Watson,male,53,1
630,Monsters CYA,Mary Depalma,female,47,0
633,Monsters CYA,Lori Mcknight,female,44,0
634,Monsters CYA,Frank Papa,male,33,1
635,Monsters CYA,Kimberly Barclay,female,48,0
637,Monsters CYA,Robert Pratt,male,28,1
639,Monsters CYA,Edna Boyette,female,43,0
641,Monsters CYA,Ashley Servais,female,26,0
642,Monsters CYA,Gary Kearney,male,55,1
643,Monsters CYA,David Lucas,male,50,1
644,Monsters CYA,Rita Field,female,49,0
648,Wonka Company,Ethel Dalton,female,31,0
651,Wonka Company,Brett Ahart,male,34,1
655,Wonka Company,Aaron Feliciano,male,60,1
656,Wonka Company,Kenneth Quick,male,33,1
657,Wonka Company,Leta Garber,female,45,0
658,Wonka Company,Bryce Gearing,male,22,1
659,Wonka Company,Juan Kloke,male,57,1
661,Wonka Company,David Michl,male,30,1
662,Wonka Company,Everett Schlesener,male,57,1
663,Wonka Company,Michelle Richey,female,49,0
664,Wonka Company,Janet Romero,female,28,0
666,Wonka Company,Ronald Barrett,male,22,1
667,Wonka Company,Clayton Cline,male,39,1
669,Wonka Company,Shari Reynolds,female,54,0
671,Wonka Company,Pedro Woodbury,male,65,1
672,Wonka Company,Patricia Mcdonald,female,45,0
675,Wonka Company,Carol Cobb,female,39,0
676,Wonka Company,Mary Burkett,female,22,0
677,Wonka Company,Bernard Park,male,48,1
679,Wonka Company,Tim Ransom,male,47,1
681,Wonka Company,Myrtle Churchill,female,51,0
683,Wonka Company,Loma Walker,female,25,0
684,Wonka Company,Robert Mitchell,male,49,1
685,Wonka Company,Michael Shields,male,33,1
686,Wonka Company,Joyce Seifert,female,56,0
687,Wonka Company,Lora Perez,female,23,0
688,Wonka Company,John Orr,male,27,1
690,Wonka Company,William Glancy,male,64,1
691,Wonka Company,Rhonda Hauck,female,25,0
692,Wonka Company,Mike Grimmett,male,50,1
693,Wonka Company,Pauline Huff,female,59,0
695,Wonka Company,Clement Johnson,male,59,1
696,Wonka Company,Michael Nutt,male,21,1
697,Wonka Company,Donald Clairmont,male,62,1
698,Wonka Company,Susan Anderson,female,51,0
699,Wonka Company,Kevin Lamb,male,43,1
700,Wonka Company,John Mcvey,male,28,1
701,Wonka Company,Evelyn Murawski,female,41,0
702,Wonka Company,Joseph Clymer,male,38,1
704,Wonka Company,Kevin Chiang,male,52,1
705,Wonka Company,Shirley Smith,female,32,0
707,Wonka Company,Arthur Hendrix,male,37,1
708,Wonka Company,Gary Heard,male,53,1
710,Wonka Company,Cynthia Mekee,female,31,0
711,Wonka Company,Esther Odonnell,female,32,0
712,Wonka Company,Kristin Davis,female,45,0
713,Wonka Company,Harvey Craig,male,42,1
715,Wonka Company,Martha Smith,female,27,0
716,Wonka Company,Charles Mullins,male,46,1
717,Wonka Company,Mary Kelly,female,41,0
718,Wonka Company,Brooke Gilbert,female,57,0
719,Wonka Company,Cory Ruiz,male,64,1
721,Wonka Company,Gregory Huntington,male,41,1
723,Wonka Company,Charles Morgan,male,34,1
724,Wonka Company,Elizabeth Gastelum,female,34,0
726,Wonka Company,David Bowers,male,34,1
727,Wonka Company,Jeffrey Collazo,male,25,1
729,Wonka Company,Hattie Martin,female,55,0
730,Wonka Company,Lori Gonzalez,female,32,0
731,Wonka Company,Linda Goodson,female,51,0
732,Wonka Company,Vickie Nave,female,42,0
734,Wonka Company,Ronald Pierson,male,34,1
735,Wonka Company,William Mckay,male,36,1
736,Wonka Company,Shawn Hacker,female,57,0
738,Wonka Company,Luciano Harris,male,58,1
739,Wonka Company,Adrianne Pierre,female,53,0
740,Wonka Company,Milton Stanley,male,50,1
742,Wonka Company,Anna Willis,female,22,0
743,Wonka Company,Mckenzie Dougherty,female,60,0
744,Wonka Company,Carmen Delisi,male,26,1
745,Wonka Company,Elizabeth Hewitt,female,53,0
747,Wonka Company,Ruth Bennett,female,51,0
748,Wonka Company,Bradley Rhodes,male,47,1
749,Wonka Company,Ernest Reyes,male,55,1
750,Wonka Company,Kathleen Tsang,female,41,0
752,Wonka Company,James Pizarro,male,64,1
753,Wonka Company,Eric Capps,male,51,1
754,Wonka Company,Barry Smithers,male,49,1
756,Wonka Company,Connie Stokes,female,27,0
757,Wonka Company,Muriel Booth,female,38,0
758,Wonka Company,William Garcia,male,64,1
759,Wonka Company,Robert Schrader,male,27,1
760,Wonka Company,Andrew Stoddard,male,44,1
761,Wonka Company,Ralph Paquin,male,31,1
762,Wonka Company,Viola Munoz,female,35,0
765,Wonka Company,Nancy Fanno,female,40,0
766,Wonka Company,Anthony Young,male,30,1
767,Wonka Company,Keely Rice,female,25,0
769,Wonka Company,Susan Lacy,female,50,0
770,Wonka Company,Bobbie Murray,female,51,0
773,Wonka Company,Edna Clyne,female,56,0
774,Wonka Company,Micheal Blakely,male,43,1
775,Wonka Company,Frances Bass,female,27,0
776,Wonka Company,Sharon Fontenot,female,48,0
780,Wonka Company,Ashley Moon,female,40,0
781,Wonka Company,James Sanchez,male,30,1
785,Wonka Company,James Wells,male,24,1
786,Wonka Company,Krista Vandyke,female,29,0
787,Wonka Company,Jessie Tu,female,43,0
789,Wonka Company,Katharine Perry,female,54,0
791,Wonka Company,Donald Hysmith,male,50,1
792,Wonka Company,Brent Williams,male,44,1
793,Wonka Company,Regina Garza,female,29,0
794,Wonka Company,Beatrice Curtis,female,31,0
795,Wonka Company,Eric Ison,male,52,1
797,Wonka Company,Andre Harris,male,22,1
798,Wonka Company,John Byrne,male,64,1
799,Wonka Company,Edwina Zamora,female,56,0
800,Wonka Company,Linda Hixon,female,42,0
801,Wonka Company,Ronald Foley,male,63,1
803,Wonka Company,Charlotte Foster,female,40,0
806,Wonka Company,Amy Coppage,female,52,0
807,Wonka Company,John Isaksen,male,23,1
808,Wonka Company,Judy Williams,female,27,0
809,Wonka Company,Davina Tyler,female,22,0
810,Wonka Company,Louise Hoffman,female,58,0
811,Wonka Company,Therese Behne,female,59,0
812,Wonka Company,Allan Mclaughlin,male,46,1
813,Wonka Company,Shani Stutz,female,64,0
814,Wonka Company,Martha Powell,female,46,0
815,Wonka Company,Monica Mcintyre,female,45,0
817,Wonka Company,Charlotte Mcneal,female,44,0
818,Wonka Company,Ralph Macdonald,male,60,1
819,Wonka Company,Linda Cunningham,female,55,0
820,Wonka Company,Walter Johnson,male,44,1
821,Wonka Company,Deborah Ryan,female,35,0
822,Wonka Company,Frankie Ortega,female,54,0
825,Wonka Company,Karen Gilley,female,35,0
826,Wonka Company,Chris Gregory,male,44,1
827,Wonka Company,James Lubin,male,54,1
828,Wonka Company,Thomas Chary,male,23,1
829,Wonka Company,William Johnson,male,50,1
830,Wonka Company,Carlos Hernandez,male,32,1
831,Wonka Company,Dorothy Lawrence,female,28,0
832,Wonka Company,Richard Ware,male,55,1
834,Wonka Company,Carlos Lanier,male,58,1
835,Wonka Company,Phyllis Morse,female,46,0
836,Wonka Company,Edward Amsterdam,male,36,1
837,Wonka Company,Harold Uren,male,50,1
838,Wonka Company,Rosemary Kelly,female,23,0
839,Wonka Company,Ben Brummer,male,55,1
842,Wonka Company,Lavinia Hankey,female,32,0
843,Wonka Company,Michael Dabbs,male,29,1
844,Wonka Company,Brian Morales,male,56,1
846,Wonka Company,Thomas Cagle,male,42,1
848,Wonka Company,Patrick Henderson,male,37,1
849,Wonka Company,Lisa Castro,female,25,0
850,Wonka Company,Mike Williamson,male,63,1
852,Wonka Company,Kaitlyn Wood,female,57,0
853,Wonka Company,Fred Bergeson,male,40,1
856,Wonka Company,Jake Rollo,male,60,1
858,Wonka Company,Helen Baker,female,31,0
859,Wonka Company,Reyna Nelson,female,32,0
860,Wonka Company,Trent Hughes,male,33,1
865,Wonka Company,Gary Thurston,male,49,1
866,Wonka Company,Yvonne Ahmad,female,46,0
867,Wonka Company,John Rivera,male,40,1
868,Wonka Company,Eric Galioto,male,37,1
869,Wonka Company,Jose Bowen,male,65,1
871,Wonka Company,Ruben Beezley,male,21,1
873,Wonka Company,William Lindsey,male,27,1
875,Wonka Company,John White,male,61,1
876,Wonka Company,John Harris,male,22,1
877,Wonka Company,Kevin Gay,male,48,1
879,Wonka Company,Tyler Eddy,male,65,1
880,Wonka Company,Alejandro Hess,male,61,1
881,Wonka Company,Marlene Williams,female,42,0
882,Wonka Company,Kimberlee Knipper,female,58,0
883,Wonka Company,Laura Webb,female,46,0
885,Acme Factory,Erma Smith,female,28,0
887,Acme Factory,Candida Marrs,female,46,0
888,Acme Factory,James Ayala,male,23,1
890,Acme Factory,Tyler Jones,male,58,1
891,Acme Factory,Carolyn Caldwell,female,31,0
892,Acme Factory,Tanya Norman,female,23,0
894,Acme Factory,Ashley Miller,female,24,0
895,Acme Factory,Alex Fratta,male,33,1
896,Acme Factory,Josephine Sigmon,female,50,0
897,Acme Factory,Thomas Smith,male,59,1
898,Acme Factory,Edwin Miller,male,29,1
900,Acme Factory,Darin Lopez,male,35,1
905,Acme Factory,John Curtiss,male,53,1
906,Acme Factory,Mario Mendoza,male,41,1
908,Acme Factory,Mary Worley,female,56,0
910,Acme Factory,William Anderson,male,59,1
911,Acme Factory,Eric Starkey,male,47,1
912,Acme Factory,Nicole Gray,female,43,0
913,Acme Factory,Elsa Wagner,female,37,0
914,Acme Factory,Jeffrey Ramage,male,40,1
915,Acme Factory,Beau Butler,male,56,1
916,Acme Factory,Clifford Gonzalez,male,33,1
917,Acme Factory,Claude Ramos,male,46,1
918,Acme Factory,Jennifer Gray,female,24,0
919,Acme Factory,Robert Luther,male,52,1
920,Acme Factory,Vincent Reyna,male,65,1
922,Acme Factory,Earl Collins,male,31,1
924,Acme Factory,Marie Witt,female,45,0
926,Acme Factory,Bertha Garcia,female,28,0
927,Acme Factory,Dolores Chambers,female,55,0
928,Acme Factory,Sonia Walsh,female,24,0
929,Acme Factory,Ann Pope,female,37,0
930,Acme Factory,Juan Steinberg,male,39,1
931,Acme Factory,Michael Whitmire,male,56,1
932,Acme Factory,Theresa Smith,female,43,0
934,Acme Factory,Harvey Violette,male,25,1
935,Acme Factory,Santo Christ,male,46,1
936,Acme Factory,Mary Everts,female,51,0
939,Acme Factory,Timothy Taylor,male,37,1
941,Acme Factory,Wendy Ferguson,female,57,0
945,Acme Factory,Kirk Mccormick,male,55,1
947,Acme Factory,Beth Bloodsaw,female,43,0
948,Acme Factory,Phyllis Flynn,female,36,0
949,Acme Factory,Regan Edwards,female,54,0
950,Acme Factory,Ivan Henton,male,32,1
951,Acme Factory,Kathleen Glass,female,35,0
952,Acme Factory,Nathan Binder,male,30,1
953,Acme Factory,Jeffrey Sutton,male,55,1
954,Acme Factory,James Potts,male,52,1
955,Acme Factory,Tad Corry,male,27,1
956,Acme Factory,Clarence Gracely,male,51,1
957,Acme Factory,Charles Zoutte,male,64,1
958,Acme Factory,Glenn Jenkins,male,51,1
960,Acme Factory,Theresa Guttmann,female,33,0
961,Acme Factory,Howard Price,male,34,1
962,Acme Factory,Tiffany Behm,female,46,0
963,Acme Factory,Robert Taylor,male,54,1
964,Acme Factory,Ernest Bybee,male,62,1
966,Acme Factory,Steven Armstrong,male,54,1
